trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,train_id,is_assigned,direction,stop_sequence,stop_id,arrival_delay,arrival_time,arrival_uncertainty,departure_delay,departure_time,departure_uncertainty,schedule_relationship_update,scheduled_track,actual_track,timestamp
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,132N,0,1503267708,0,0,1503267708,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,131N,0,1503267768,0,0,1503267768,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,130N,0,1503267828,0,0,1503267828,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,129N,0,1503267888,0,0,1503267888,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,128N,0,1503267978,0,0,1503267978,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,127N,0,1503268068,0,0,1503268068,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,126N,0,1503268188,0,0,1503268188,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,125N,0,1503268308,0,0,1503268308,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,124N,0,1503268398,0,0,1503268398,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,123N,0,1503268458,0,0,1503268458,0,0,4,,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0,122N,0,1503268578,0,0,1503268578,0,0,4,,0
